"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OMI","Owens & Minor, Inc.","18.84","$1.15B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/omi",
"OC","Owens Corning Inc","86.65","$9.64B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/oc",
"OI","Owens-Illinois, Inc.","24.04","$3.92B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/oi",
"OXM","Oxford Industries, Inc.","72.05","$1.21B","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/oxm",
"PAI","Pacific American Income Shares, Inc.","15.67","$148.46M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pai",
"ROYT","Pacific Coast Oil Trust","1.69","$65.21M","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royt",
"PCG","Pacific Gas & Electric Co.","53.06","$27.3B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/pcg",
"PKG","Packaging Corporation of America","117.34","$11.07B","2000","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/pkg",
"PANW","Palo Alto Networks, Inc.","141.37","$12.99B","2012","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/panw",
"PAM","Pampa Energia S.A.","63.43","$4.66B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pam",
"P","Pandora Media, Inc.","4.82","$1.2B","2011","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/p",
"PHX","Panhandle Royalty Company","20.45","$340.92M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
"PAR","PAR Technology Corporation","8.48","$135.74M","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/par",
"PGRE","Paramount Group, Inc.","15.81","$3.8B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pgre",
"PKE","Park Electrochemical Corporation","19.23","$389.17M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/pke",
"PK","Park Hotels & Resorts Inc.","28.38","$6.1B","2016","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/pk",
"PKD","Parker Drilling Company","0.9352","$129.9M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pkd",
"PH","Parker-Hannifin Corporation","186.33","$24.82B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ph",
"PE","Parsley Energy, Inc.","25.34","$7.97B","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pe",
"PRE^F","PartnerRe Ltd.","25.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^f",
"PRE^G","PartnerRe Ltd.","27.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^g",
